match_id,competition,team,sub_minute,score_diff,is_home,time_remaining,sub_sequence,game_phase,position_name,position_group,team_xg_prev15,opp_xg_prev15,xg_diff_prev15,shots_prev15,passes_prev15,pressures_prev15,team_xg_next15,opp_xg_next15,xg_diff_next15,impact_score,impact_label,game_phase_enc,position_group_enc
3895302,Bundesliga 2023/2024,Bayer Leverkusen,76,3,1,14,5,76-90+,Left Defensive Midfield,MF,0.401,0.0825,0.3185,4,123,28,0.7968,0.0,0.7968,0.4783,Positive,3,1
3895333,Bundesliga 2023/2024,Bayer Leverkusen,60,2,0,30,1,31-60,Left Wing Back,FW,0.7835,0.3556,0.4279,1,58,20,0.0,0.135,-0.135,-0.5629,Negative,1,0
3895333,Bundesliga 2023/2024,Bayer Leverkusen,60,2,0,30,2,31-60,Center Forward,FW,0.7835,0.3556,0.4279,1,58,20,0.0,0.135,-0.135,-0.5629,Negative,1,0
3895333,Bundesliga 2023/2024,Eintracht Frankfurt,69,-2,1,21,1,61-75,Left Back,DF,0.193,0.7835,-0.5905,4,82,21,0.1938,0.4785,-0.2847,0.3058,Positive,2,2
3895333,Bundesliga 2023/2024,Eintracht Frankfurt,69,-2,1,21,2,61-75,Left Defensive Midfield,MF,0.193,0.7835,-0.5905,4,82,21,0.1938,0.4785,-0.2847,0.3058,Positive,2,1
3895333,Bundesliga 2023/2024,Bayer Leverkusen,71,2,0,19,3,61-75,Right Defensive Midfield,MF,0.7835,0.203,0.5805,1,37,31,0.4785,0.2317,0.2468,-0.3337,Negative,2,1
3895333,Bundesliga 2023/2024,Bayer Leverkusen,71,2,0,19,4,61-75,Right Wing Back,FW,0.7835,0.203,0.5805,1,37,31,0.4785,0.2317,0.2468,-0.3337,Negative,2,0
3895333,Bundesliga 2023/2024,Eintracht Frankfurt,79,-3,1,11,3,76-90+,Left Attacking Midfield,MF,0.0968,0.4785,-0.3817,3,97,26,0.4086,0.7835,-0.3749,0.0068,Neutral,3,1
3895333,Bundesliga 2023/2024,Eintracht Frankfurt,79,-3,1,11,4,76-90+,Right Attacking Midfield,MF,0.0968,0.4785,-0.3817,3,97,26,0.4086,0.7835,-0.3749,0.0068,Neutral,3,1
3895333,Bundesliga 2023/2024,Eintracht Frankfurt,79,-3,1,11,5,76-90+,Right Center Forward,FW,0.0968,0.4785,-0.3817,3,97,26,0.4086,0.7835,-0.3749,0.0068,Neutral,3,0
3895333,Bundesliga 2023/2024,Bayer Leverkusen,82,3,0,8,5,76-90+,Right Defensive Midfield,MF,0.4785,0.136,0.3425,1,57,24,0.7835,0.3695,0.414,0.0715,Neutral,3,1
3895348,Bundesliga 2023/2024,Augsburg,40,-2,0,50,1,31-60,Center Defensive Midfield,MF,0.0896,0.3653,-0.2757,1,85,22,0.1274,0.2701,-0.1427,0.133,Positive,1,1
3895348,Bundesliga 2023/2024,Bayer Leverkusen,62,1,1,28,1,61-75,Left Attacking Midfield,MF,0.1583,0.2305,-0.0722,3,89,17,0.4718,0.0,0.4718,0.544,Positive,2,1
3895348,Bundesliga 2023/2024,Bayer Leverkusen,62,1,1,28,2,61-75,Center Forward,FW,0.1583,0.2305,-0.0722,3,89,17,0.4718,0.0,0.4718,0.544,Positive,2,0
3895348,Bundesliga 2023/2024,Bayer Leverkusen,68,1,1,22,3,61-75,Right Defensive Midfield,MF,0.2895,0.2305,0.059,3,79,23,0.2412,0.2414,-0.0002,-0.0592,Neutral,2,1
3895348,Bundesliga 2023/2024,Bayer Leverkusen,69,1,1,21,4,61-75,Left Wing Back,FW,0.3532,0.2305,0.1227,4,77,23,0.2075,0.2414,-0.0339,-0.1566,Negative,2,0
